HVQ_039_3_000001	HÙNG VƯƠNG DỰNG NƯỚC 1973 BẢN KHOA HỌC XÃ HỘI VIỆT NAM VIỆN KHẢO CỔ HỌC HÙNG VƯƠNG DỰNG NƯỚC TẬP III (KÝ YÊU CỦA HỘI NGHỊ LẦN THỨ 3 NĂM 1970) E261 - 1/0N YH Cho phép tôi, một đảng viên trong khoa học này, nói lời vui mừng chung của chúng ta, đã hoàn thành chương trình công tác đề ra, nhằm tin tưởng vào tương lai của chúng ta sẽ trở thành thành tựu tốt đẹp cuối năm nay, kéo hết 3 năm 1968-1970, cùng ngành, là nghiên cứu … «những vấn đề mẫu chất nhất và thực tế nhất của thời kỳ lịch sử các Vua Hùng dựng nước».
HVQ_039_3_000002	I. ĐÁ LÀM GÌ?
HVQ_039_3_000003	14 tháng qua, chúng ta đã thực hiện chương trình nghiên cứu khoa học mà chúng ta đã đề xuất ra là hai hội nghị khoa học trưng bày nghiên cứu của thời kỳ Hùng Vương, như thế nào?
HVQ_039_3_000004	A. Đúng như đã đồng ý với nhau từ tháng tới năm ngoái, chúng ta trực tiếp ra sổ «tổ chức nhóm làm việc».
HVQ_039_3_000005	Vì hầu như rất dở, đôi khi chúng ta bốn tháng còn …
HVQ_039_3_000006	Nhưng chúng ta đã kiên trì.
HVQ_039_3_000007	Và có thể nói: chúng ta đã thành công.
HVQ_039_3_000008	Vì vậy hầu như rất dở, nhưng thật ra còn chút gì đó.
HVQ_039_3_000009	Vì sao?
HVQ_039_3_000010	Vì như vậy đề mẫu chất, như vậy đề thiết thực, có thể kẻ ra thành 20-30 vấn đề, mà cũng có thể góp lại thành 3-4 vấn đề lớn; mỗi cách làm.
HVQ_039_3_000011	- Māt khác, lc lưng cůa chúng ta tuy dā hùng hu, song phán tán trong ahiču cổ quan khác nhau, mōi cổ quan có churc náng và nhișm vu cua minh; tōng thi, dù dā bât dàn hùng hău song vān có han, bao gi cng có han true viēn cănh khoa học ln lao mà cách mang dā mang dén cho chúng ta ngày nay.
HVQ_039_3_000012	Cuói cùng, chúng ta dā xác dinh duge rǎng lě lói ngbièn cúu khoa học tp thè va phưong pháp nghièn cu khoa học tồng hp, mà chúng ta dā cùng nhau 9 (ID DOON DNÉG DNOOA ONOH chùng ta.
HVQ_039_3_000013	Nhung nghièn cirù khoa học táp thè khóng phèi là dè tè chưre, , dú chúng ta dā có quyét tàm cao di nãa; mà dáy, khóng phài chǐ rièng tà p thè cán b khão cò he làm vięc vói nhau mà thói, chúng ta cón cng tác yi nihau gia cán b hot dng trong nhūng ngành khác nhau, thuc nhng cổ qruan kbác nbau.
HVQ_039_3_000014	Sau nhièu ngày bán bac throng luong, chúng ta dā vui mùrng tién déin làp duge, ngày 1-9-1969, 6 nhóm nghièn ciru dáp úrng nhüng yéu càu nói trèn, và sau dó láp thèm nhóm chuyén cóng tác tir lișu.
HVQ_039_3_000015	Möi nhóm nghiên curu táp trrung nghièn ciu mǒt văn dè lon vě thời ký Hùng Vurong, mói ván dě dó bao; gòm mět só ván dě cu thè hon.
HVQ_039_3_000016	Nhāng vǎn dè lón mà các nhóm cò nhięm vu soi sáng là: 1.
HVQ_039_3_000017	Nién đi cùa thi kỳ; 2.
HVQ_039_3_000018	Đăt nue và con ngri (cưong vc, hoàn cănh thièn nhièn, dàn cur): ; 3.
HVQ_039_3_000019	Kinh té (nóng nghip, nghè luyěn kim và các nghệ khác, các hinth thái kinh té khác, quan hę sân xuǎt); 4.
HVQ_039_3_000020	Đi sóng vát chát va tỉnh thàn (cue sóng hàng ngày, phong tế tāp qruán, nghè thuàt, tin ngưōng.
HVQ_039_3_000021	nhàu sinh quan); 5.
HVQ_039_3_000022	Xã hội (tổ chức nào cấp, tỉnh gì): 6.
HVQ_039_3_000023	Thị kỳ An Dương Vương và quan hệ với thị kỳ Hùng Vương.
HVQ_039_3_000024	Đó không phải là một danh sách lò gích, suy ra tỉ lệ trí độ toàn.
HVQ_039_3_000025	Nội bộ văn đề đã kể ra là những điểm nên được biết và có thể biết được trong tỉnh hình tự liệu
HVQ_039_3_000026	Vi đióii vói văn dè khoa hoe dè ra nghién curu, muón di dén kět quà, khóng thè chil xuát phát tùr mong muón chǔ quau, mà còn phái nhán xét tỉnh hình hièu biét wèè ván dè mà quyet dinh.
HVQ_039_3_000027	Vi danh sách dè ra nhu trèn, mět dièm quan trong ti nay chưa dugrce giài quyét rō ráng, nay dugc ngā ngǔ, là: cháng ta dā dinh đuroc rő mt cách thiést: thre chù trrong nèn nghiên cún văn dè An Dirong Vrong nhiu thé nào cho thicih hop.
