HVQ_039_3_000001	HÙNG VƯƠNG DỰNG NƯỚC 1973 Số ... VIỆN KHẢO CỔ HỌC HÙNG VƯƠNG DỰNG NƯỚC TẬP III (KÝ YÊU CỦA HỘI NGHỊ LẦN THỨ 3 NĂM 1970) E261 - 1ÔN YH Cho phép tôi, mạn dạn cước toà đàm khoa học này, nói lên nỗi vui mừng chung của chúng ta, đã hoàn thành chương trình công tác đề ra, nhằm tin tưởng vào việc chúng ta sẽ hoàn thành tốt đề cuối năm nay, kèm hợp 3 năm 1968-1970 cùng ngành, là nghiên cứu đưa điểm « như vạn đề mẫu chót nhất và thực thụ nhất của thời kỳ lịch sử các Vua Hùng dựng nước ».
HVQ_039_3_000002	I. ĐÂU LÀM GÌ?
HVQ_039_3_000003	14 tháng qua, chúng ta đã thực hiện chương trình nghiên cứu khoa học mà chúng ta đã được xuất ra là hai hội nghị khoa học trình nghiên cứu chủ đề Hùng Vương, như thế nào?
HVQ_039_3_000004	A. Đúng như đã đồng ý với nhau từ tháng năm ngoái, chúng ta trước đây ra sao « tới các nhóm làm việc ».
HVQ_039_3_000005	Vì hầu như rât đồng giản này đối với chúng ta bốn tháng còn lại.
HVQ_039_3_000006	Nhưng chúng ta đã kiên trì.
HVQ_039_3_000007	Và có thể nói: chúng ta đã thành công.
HVQ_039_3_000008	Vì hầu như rât đồng giản, nhưng thực ra còn chút gì đó.
HVQ_039_3_000009	Vì sao?
HVQ_039_3_000010	Vì như vậy thì mới chót, như vậy thì thiết thực, có thể kẻ ra thành 20-30 vòng đề, mà cũng có thể góp lại thành 3-4 vòng đề lớn; mỗi cách làm có cái thuận lợi và có cái bất tiện của nó.
HVQ_039_3_000011	- Mặt khác, lý luận của chúng ta tuy đã hùng hư, song phán tán trong đại cổ quan khác nhau, mỗi cổ quan có chức năng và nhiệm vụ của mình; tổng thể, dù đã bất đản hùng hao song vẫn có hạn, bất gì cũng có hạn trong viễn cảnh khoa học và lối mà đã mang đến cho chúng ta ngày nay.
HVQ_039_3_000012	Cuối cùng, chúng ta đã xác định đúng ràng lẽ nguyện cứu khoa học để và phương pháp nghiên cứu khoa học tổng hợp, mà
HVQ_039_3_000013	Nhưng nghiên cứu khoa học tập thể không phí là đề tài chuẩn, dù chúng ta đã có quyết tâm cao đi nữa; mà
HVQ_039_3_000014	Sau nhiều ngày bàn bạc trong lòng, chúng ta đã vui mừng tiến đến lập đúng, ngày 1-9-1969, 6 nhóm nghiên cứu đáp ứng những yêu cầu nói trên, và sau đó lập
HVQ_039_3_000015	Mỗi nhóm nghiên cứu tập trung nghiên cứu một văn đề lớn về thời kỳ Hùng Vương, mỗi văn đề đó bao gồm; gồm nhiều số văn đề cụ thể hơn.
HVQ_039_3_000016	Những văn đề lớn mà các nhóm có nhiệm vụ soi sáng là: 1.
HVQ_039_3_000017	Nhiên đi của thời kỳ; 2.
HVQ_039_3_000018	Đặt nền và con người (cương vị, hoàn cảnh thiên nhiên, dàn ...): ; 3.
HVQ_039_3_000019	Kinh tế (nông nghiệp, nghề luyện kim và các nghề khác, các hình thái kinh tế khác, quan hệ xã hội xuất); 4.
